CancerClassificationExperiment01-02-2022_637793399198479784.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :50 	 
Cycle: 5 	 Saturated Accuracy : 50 	 Number of times repeated 1
Cycle: 6 	 Saturated Accuracy : 50 	 Number of times repeated 2
Cycle: 7 	 Saturated Accuracy : 50 	 Number of times repeated 3
Cycle: 8 	 Saturated Accuracy : 50 	 Number of times repeated 4
Cycle: 9 	 Saturated Accuracy : 50 	 Number of times repeated 5
Cycle: 10 	 Saturated Accuracy : 50 	 Number of times repeated 6
Cycle: 11 	 Saturated Accuracy : 50 	 Number of times repeated 7
Cycle: 12 	 Saturated Accuracy : 50 	 Number of times repeated 8
Cycle: 13 	 Saturated Accuracy : 50 	 Number of times repeated 9
Cycle: 14 	 Saturated Accuracy : 50 	 Number of times repeated 10
Cycle: 15 	 Saturated Accuracy : 50 	 Number of times repeated 11
Cycle: 16 	 Saturated Accuracy : 50 	 Number of times repeated 12
Cycle: 17 	 Saturated Accuracy : 50 	 Number of times repeated 13
Cycle: 18 	 Saturated Accuracy : 50 	 Number of times repeated 14
Cycle: 19 	 Saturated Accuracy : 50 	 Number of times repeated 15
Cycle: 20 	 Saturated Accuracy : 50 	 Number of times repeated 16
Cycle: 21 	 Saturated Accuracy : 50 	 Number of times repeated 17
Cycle: 22 	 Saturated Accuracy : 50 	 Number of times repeated 18
Cycle: 23 	 Saturated Accuracy : 50 	 Number of times repeated 19
Cycle: 24 	 Saturated Accuracy : 50 	 Number of times repeated 20
Cycle: 25 	 Saturated Accuracy : 50 	 Number of times repeated 21
Cycle: 26 	 Saturated Accuracy : 50 	 Number of times repeated 22
Cycle: 27 	 Saturated Accuracy : 50 	 Number of times repeated 23
Cycle: 28 	 Saturated Accuracy : 50 	 Number of times repeated 24
Cycle: 29 	 Saturated Accuracy : 50 	 Number of times repeated 25
****Sequence Ending*****
